period,short_desc,temp,desc
This Afternoon,Slight ChanceShowers,High: 55 °F,"This Afternoon: A 20 percent chance of showers before 1pm.  Mostly cloudy, with a high near 55. South wind 8 to 11 mph. "
Tonight,ShowersLikely thenHeavy Rainand Breezy,Low: 55 °F,"Tonight: Showers, mainly after 10pm. The rain could be heavy at times.  Steady temperature around 55. Breezy, with a south wind 14 to 20 mph.  Chance of precipitation is 100%. New precipitation amounts between a half and three quarters of an inch possible. "
Monday,Showers thenSunny,High: 56 °F⇓,"Monday: Showers, mainly before 7am.  Temperature falling to around 52 by 5pm. West wind around 14 mph, with gusts as high as 26 mph.  Chance of precipitation is 80%. New precipitation amounts between a tenth and quarter of an inch possible. "
Monday Night,Mostly Clear,Low: 41 °F,"Monday Night: Mostly clear, with a low around 41. Southwest wind 6 to 10 mph. "
Tuesday,Mostly Sunnythen SlightChanceShowers,High: 52 °F,"Tuesday: A 20 percent chance of showers after 4pm.  Increasing clouds, with a high near 52. Light and variable wind becoming southeast 5 to 10 mph in the morning. "
Tuesday Night,Rain,Low: 50 °F,Tuesday Night: Rain.  Steady temperature around 50. Chance of precipitation is 90%. New precipitation amounts between a quarter and half of an inch possible. 
New Year's Day,ChanceShowers,High: 51 °F,"New Year's Day: A 50 percent chance of showers.  Mostly cloudy, with a high near 51."
Wednesday Night,Mostly Cloudy,Low: 35 °F,"Wednesday Night: Mostly cloudy, with a low around 35."
Thursday,Mostly Sunny,High: 41 °F,"Thursday: Mostly sunny, with a high near 41."
